pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
765	The kid is happily sliding in the snow	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	4	NEUTRAL
780	A woman, who is old, is near a white dog	A woman and a dog are sitting on a tree stump	3.1	NEUTRAL
816	A group of people is equipped with protective gear	A group of people is equipped with gear used for protection	5	ENTAILMENT
860	One white dog and one black one are running side by side on the grass	A dog, which has a black coat, and a white dog are running on the grass	4.2	ENTAILMENT
873	Not a lot of people are in an ice skating park	An ice skating rink placed outdoors is full of people	3.5	NEUTRAL
882	The girl in the blue and white uniform is cheering	The girl is cheering the man in the blue and white uniform	3.1	NEUTRAL
913	A woman is being kissed by a man	There is no woman being kissed by a man	4.2	CONTRADICTION
933	The girl in the red shirt is blowing a bubble 	The young girl is blowing a bubble that is huge	3.8	NEUTRAL
947	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	Two toddlers are eating corndogs in a wagon, which is really small	4.8	ENTAILMENT
980	A man is getting on a horse on a track laid in the wild	A horse is tossing the cowboy wearing pants of blue and red color	2.1	NEUTRAL
987	An adult is in the amphitheater and is talking to a boy	There is no adult in the amphitheater talking to a boy	4.3	CONTRADICTION
988	A talk about an adult and a boy is given in the amphitheater	An adult is in the amphitheater and is talking to a boy	3.1	NEUTRAL
1039	The snowboarder isn't leaping over white snow	A person who is practicing snowboarding jumps into the air	3.3	NEUTRAL
1102	A woman is riding a horse	A man is opening a small package that contains headphones	1	NEUTRAL
1137	A fish is hunting for a turtle in the sea	The turtle is following the fish	3.5	NEUTRAL
1170	A potato is being sliced by a woman	A woman is slicing a carrot	3	NEUTRAL
1177	A woman is combing her hair	A woman is arranging her hair	4.1	NEUTRAL
1178	A woman is combing her hair	There is no woman combing her hair	3.6	CONTRADICTION
1190	A man and a woman are hiking through a wooded area	A man and a woman are walking together through the woods	4.3	ENTAILMENT
1192	A man and a woman are walking together through the woods	A man and a woman are walking through a wooded area	4.6	ENTAILMENT
1232	A man is slicing a bun	A man is slicing a tomato	3.6	NEUTRAL
1236	A woman is dancing and singing alone	A woman is dancing and singing with other women	3.285	CONTRADICTION
1237	Some women are dancing and singing 	A woman is dancing and singing in the rain	3.8	NEUTRAL
1241	A woman is dancing and singing with other women	A woman is dancing and singing in the rain	4.1	NEUTRAL
1266	A band is playing on a stage	A band is playing onstage	5	ENTAILMENT
1302	A man is playing flute	A man is playing a game with a ball	1.5	NEUTRAL
1333	The woman is measuring the other woman	A woman is being measured by another woman	4.9	ENTAILMENT
1390	A person is standing near a motorcycle	A person is chopping an onion	1.2	NEUTRAL
1396	A man is screaming	A man is scared	3.6	NEUTRAL
1400	A sad man is crying	A man is screaming	2.9	NEUTRAL
1410	A woman is cutting shrimps	A man is chopping butter into a small container	1.4	NEUTRAL
1412	Men are sawing logs	Men are cutting wood	4.5	ENTAILMENT
1443	A man is talking on the radio	A man is spitting	1.7	NEUTRAL
1469	Three young men are running, jumping and kicking near a vending machine	There is no man running, jumping and kicking near a vending machine	3.8	CONTRADICTION
1470	Three men are jumping off a wall	Three young men are furiously running, jumping and kicking near a vending machine	2.5	NEUTRAL
1487	The man is not stirring the sauce for the chicken	The man is stirring the sauce for the chicken	4	CONTRADICTION
1493	A man is playing an electric guitar	A man is playing guitar	4.9	ENTAILMENT
1495	A man is playing a guitar	A man is strumming a guitar	4.9	ENTAILMENT
1503	Three boys in karate costumes aren't fighting	Three boys in karate costumes are fighting	3.3	CONTRADICTION
1506	Three men are practicing karate outdoors	Three boys in karate costumes are fighting	3.8	NEUTRAL
1525	A woman is planting some flowers	A woman is cutting broccoli	1.2	NEUTRAL
1584	A hole is being burrowed by the badger	A badger is shrewdly digging the earth	4.5	ENTAILMENT
1608	A snake is being fed a mouse by a man	No snake is being fed a mouse by a man	4.7	CONTRADICTION
1628	Some ingredients are being mixed in a bowl by a person	Some ingredients are being separated in a bowl by a person	4.6	NEUTRAL
1676	A boat is sailing peacefully over the water	The guitar is being played by the man	1.1	NEUTRAL
1690	The milk is being drunk by a cat	The cat is drinking some milk	5	ENTAILMENT
1703	A man is emptying a container made of plastic completely	A man is emptying a container made of plastic	4.7	ENTAILMENT
1711	A man is emptying a container made of plastic	A man is carelessly holding a frog	1.1	NEUTRAL
1754	A flute is being played in a lovely way by a girl	A flute is being played by a girl	4.6	ENTAILMENT
1807	The adult is playing the guitar loudly	A flute is being played by a man	2.4	NEUTRAL
1811	A man is playing the guitar loudly	A flute isn't being played by a man	2.4	NEUTRAL
1839	The girl, who is little, is carefully combing her hair into a pony tail	The girl, who is little, is combing her hair into a pony tail.	4.6	ENTAILMENT
1847	One man is sitting on the chair	The girl, who is little, is ruffling her hair	1	NEUTRAL
1861	The microphone in front of the talking parrot is being muted	The parrot is talking into the microphone	4	NEUTRAL
1877	The kittens on the trays are being eaten as food for an advertisement	The food on the trays is being eaten by the kittens	3.5	NEUTRAL
1881	The food on the trays is being eaten by the kittens	A few kittens are eating	4.2	ENTAILMENT
1964	One person is playing the guitar and singing	A person is playing a guitar and singing	4.9	ENTAILMENT
2001	The horse is being ridden by a man	A man is riding the horse	5	ENTAILMENT
2019	A man is dangerously throwing knives at a tree	Some dangerous men with knives are throwing a bike against a tree	3.3	NEUTRAL
2058	A lady is cutting up some meat precisely	Some meat is being cut into pieces by a woman	4.8	ENTAILMENT
2089	The man is denying an interview	The man is granting an interview	3.2	CONTRADICTION
2096	The man is granting an interview	A man's white car is being driven away	1.1	NEUTRAL
2130	A small boy is scolding a dog	A small boy is playing with a dog	3.4	NEUTRAL
2157	The picture of a camera set up is being taken by a man on the beach at the sunset	A man is taking pictures of a lake	3	NEUTRAL
2166	A woman is sewing with a machine	A woman is using a machine made for sewing	4.8	ENTAILMENT
2221	Someone is falling off a horse	The man is not knocked off of a horse	3.9	NEUTRAL
2229	A woman is tapping her fingers on a table	A woman is resting her fingers on a table	4.1	NEUTRAL
2231	A woman is tapping her fingers	A woman is resting her fingers on a table	3.1	NEUTRAL
2284	The cat is playing passionately with a watermelon	The cat is playing with a watermelon	4.7	ENTAILMENT
2286	The cat is playing passionately with a watermelon	A cat is playing with a watermelon	4.5	ENTAILMENT
2362	A person is burning some cameras with a blow torch	The tall person is setting fire to the cameras	3.8	NEUTRAL
2364	Some cameras are being burned by a person with a blow torch	The person is setting fire to the cameras	4.2	ENTAILMENT
2366	A person by some cameras is blowing on a burning torch	The person is setting fire to the cameras	3.3	NEUTRAL
2385	A person is cutting an onion into pieces	A person is slicing a carrot into pieces	3.4	NEUTRAL
2392	The man is not slicing the potato	The man is slicing a potato	2.7	CONTRADICTION
2402	Someone is cutting a tomato	The woman is holding a whole tomato	3.5	NEUTRAL
2404	The lady is slicing a tomato	There is no one cutting a tomato	3	CONTRADICTION
2405	The lady is slicing a tomato	Someone is cutting a tomato	4.7	ENTAILMENT
2410	A man is preparing some dish	An onion is being sliced with a knife by the woman	1.3	NEUTRAL
2430	One man is running down the road	A man is running	4.4	ENTAILMENT
2476	Some people are singing	A group of people is singing	4.7	ENTAILMENT
2485	The man is playing a guitar	A man is playing a trumpet	2.2	NEUTRAL
2525	A few people are floating on a raft	People are riding and paddling a raft	3.8	NEUTRAL
2527	People are riding and paddling a raft	Four people are floating on a raft	4.2	NEUTRAL
2535	There is no cat eating corn on the cob	A cat is eating some corn	2.5	NEUTRAL
2544	The person is slicing a vegetable	Nobody is slicing a tomato	3.1	NEUTRAL
2557	Someone is strumming the guitar	Someone is playing the guitar	4.5	ENTAILMENT
2566	Three women are dancing	A few women are dancing	4.6	ENTAILMENT
2604	A bull dog is being brushed by the monkey	The monkey is brushing a bull dog	4.8	ENTAILMENT
2606	The monkey is brushing a bull dog	A bull dog is brushing the monkey	3.9	NEUTRAL
2662	The lady isn't cracking an egg for the mixer	The lady is slicing up the meat	2.335	NEUTRAL
2668	A few ferrets are climbing out of the cage	Ferrets are climbing down from a shelf	3.1	NEUTRAL
2678	A man is hurriedly getting into a car in a garage	A man is getting into a car	4.1	ENTAILMENT
2679	A man is parking a car in a garage	A man is getting into a car	3.4	NEUTRAL
2687	The person is slicing a clove of garlic into pieces	The person is not slicing a clove of garlic into pieces	3	CONTRADICTION
2704	Noodles are being boiled in water by a woman	A woman is boiling noodles in water	5	ENTAILMENT
2712	There is no karate practitioner kicking at another man who is wearing protective boxing gloves	A karate practitioner is kicking at another man who is wearing protective boxing gloves	4.3	CONTRADICTION
2720	The man is kick boxing with a trainer	There is no karate practitioner kicking at another man who is wearing protective boxing gloves	3	NEUTRAL
2721	The man is kick boxing with a trainer	A karate practitioner is kicking at another man who is wearing protective boxing gloves	4	NEUTRAL
2722	A woman, who is seated, is singing a song and playing the guitar	A seated woman is singing a song and playing the guitar	5	ENTAILMENT
2726	A woman on a rock is lying on a blanket and reading a book	A woman is rocking over a blanket lying on someone reading a book	2.7	NEUTRAL
2738	The woman is not playing an electric guitar	A man is playing an acoustic guitar	3	NEUTRAL
2766	A man and woman are talking	A man and a woman are eating happily	2.6	NEUTRAL
2772	A person is pouring oil for cooking into a pot	A person is pouring cooking oil into a pot	5	ENTAILMENT
2791	A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor	A small guinea pig is gnawing and eating a piece of carrot on the floor	4.8	ENTAILMENT
2795	A small guinea pig is gnawing and eating a piece of carrot on the floor	A guinea pig is devouring a carrot	4.5	ENTAILMENT
2812	A plane is landing	An animated airplane is taking off	2.7	NEUTRAL
2822	A woman is taking a mixture out of a bowl	A woman is preparing an egg in a skillet	2.7	NEUTRAL
2829	The lady is penciling on eyeshadow	The woman is penciling on eyeshadow	5	ENTAILMENT
2842	A little girl is playing a grand piano on stage	A girl is practicing the piano	3.8	NEUTRAL
2886	A woman is playing a flute	The woman is not playing the flute	3.2	CONTRADICTION
2898	The man is lifting barbells	The man is lifting weights	4.3	ENTAILMENT
2911	A woman is putting on makeup	There is no woman putting on makeup	4	CONTRADICTION
2932	The woman is cutting a carrot	An onion is being sliced by a woman	2.4	NEUTRAL
2936	Two men are fighting in a cattle pen	Two men are outside a cattle pen	3	NEUTRAL
2965	A big green ball is missing a potato	A big green ball is knocking a potato	3.3	NEUTRAL
2967	A large green ball is hitting a potato	A large green colored ball is hitting a potato	4.8	ENTAILMENT
2968	A large green ball is missing a potato	A large green ball is hitting a potato	3.5	NEUTRAL
2972	A large green ball is hitting a potato	A big green ball is missing a potato	3.4	CONTRADICTION
2996	A man is playing a guitar	A man is laying down a guitar	3.3	NEUTRAL
3002	A woman is playing an electric guitar	A man is laying down a guitar	2.3	NEUTRAL
3036	The puppy is not playing with a plastic container	The puppy is playing with a plastic container	3.2	CONTRADICTION
3061	A woman is driving a car and is talking to the man who is seated beside her	There is no woman driving a car and talking to the man seated beside her	4.7	CONTRADICTION
3107	A man is flooring a sitting guitar player	A man is sitting on the floor in a room and strumming a guitar	2.3	NEUTRAL
3122	A woman is using a pencil for eyes and is applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	4.6	ENTAILMENT
3123	There is no woman using an eye pencil and applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	3.1	CONTRADICTION
3143	A monkey is kicking at a person's glove	The monkey is practicing martial arts	3.6	NEUTRAL
3174	A kid is throwing away an instrument	A young boy is playing a wind instrument	2.8	NEUTRAL
3181	A man is trekking in the woods	The man is not hiking in the woods	3.8	NEUTRAL
3222	There is no boy walking across a bridge	A boy is walking across a bridge	3.7	CONTRADICTION
3250	A woman is placing two eggs into a pot of water	A woman is putting two eggs into a pot of water	4.9	ENTAILMENT
3258	A man is playing the guitar	Nobody is playing the guitar	3.7	CONTRADICTION
3275	A child is running in and out of the waves of the ocean	A child is running in and out of the ocean waves	4.9	ENTAILMENT
3291	A woman is putting away carrots	A woman is coating a pork chop	1.7	NEUTRAL
3292	A woman is grating carrots	A cook is coating a pork chop	2.1	NEUTRAL
3322	The woman is chopping some bread and fried pork	A woman is cooking a breaded pork chop	3.2	NEUTRAL
3338	There is no man standing on a roof top and playing a violin	A man is standing on a roof top and playing a violin	3.4	CONTRADICTION
3364	A woman is cleaning a shrimp	The woman is cleaning a shrimp	4.9	ENTAILMENT
3373	A woman is riding a water scooter	A woman is riding a scooter for water	4.1	ENTAILMENT
3384	A panda bear is eating some bamboo	Some bamboo is being eaten by a panda bear	4.8	ENTAILMENT
3398	Someone is beating an egg	The woman isn't stirring eggs in a bowl	3.2	NEUTRAL
3420	A woman is deboning a fish	A big fish is catching a man	1.9	NEUTRAL
3433	A tray is being buttered by a person	A person is buttering a tray	5	ENTAILMENT
3459	The man is chopping a tree trunk with an axe	A man is chopping a log with an axe	4.4	NEUTRAL
3485	The cat is looking out the window at the table on the perch	The cat perched on the table is looking out the window	4.1	NEUTRAL
3501	A dog is licking a baby	The dog is licking the baby	4.8	ENTAILMENT
3505	A woman is putting away the garlic	A woman is chopping up garlic	3.6	NEUTRAL
3518	The man is not dancing	A woman is dancing	3.3	NEUTRAL
3536	Someone is cooking okra in a pan	Okra is being cooked in a pan	4.9	ENTAILMENT
3586	A man is playing the drum	A man is practicing the drum	4.6	ENTAILMENT
3598	One man is doing floor exercises	A man is doing exercises	4.3	ENTAILMENT
3625	A woman is putting meat in a pan	There is no woman putting meat in a pan	3.4	CONTRADICTION
3626	Someone is dropping the meat into a pan	The meat is being dropped into a pan	4.7	ENTAILMENT
3657	A boy is filling a pitcher with water	A pitcher is being filled with water by a boy	5	ENTAILMENT
3661	A woman is collecting the water from a tap in a mug	A boy is filling a pitcher with water	2.7	NEUTRAL
3670	It is raining on a walking man	A man is walking in the rain	4.9	ENTAILMENT
3680	Racers are running down a track	There are no racers running down a track	3.7	CONTRADICTION
3711	A toy train is striking a toy car	A toy train is missing a toy car	3.8	CONTRADICTION
3721	The person is slicing onions	Onions are being sliced by the person	4.9	ENTAILMENT
3733	Swimmers are racing in a lake	Some racers are swimming in a lake	4.3	ENTAILMENT
3747	A talented man is playing the guitar	A woman is playing a guitar	3.2	NEUTRAL
3790	A person is scrubbing a zucchini	The person is scrubbing a zucchini	5	ENTAILMENT
3812	A woman is slicing a pepper which is green	A woman is slicing a green pepper	4.8	ENTAILMENT
3855	A man is stopping in the middle of a road	A man is walking down a road	3.2	NEUTRAL
3861	A man from the wilderness is on a walking path	A man is walking down a road	3.4	NEUTRAL
3862	The man is walking along a path through the wilderness	A man is lazily walking down a road	3.285	NEUTRAL
3880	A man is dancing on the ceiling of a room	The man is dancing upside-down on the ceiling	4.4	ENTAILMENT
3897	There is no man exercising	A man is exercising	3.4	CONTRADICTION
3909	The man is singing and playing the guitar	The guitar is being played by a man	4.3	ENTAILMENT
3910	A man is packing the guitar	The man is singing and playing the guitar	3.4	NEUTRAL
3922	Boys are not dancing in front of some people	Boys are dancing in front of some people	3.8	CONTRADICTION
3941	A boy is looking at a calendar	There is no boy checking a calendar	3.9	CONTRADICTION
3982	A woman is peeling a potato	A woman is refrigerating a potato	3.7	NEUTRAL
3996	There is no man singing and playing a guitar	A boy is playing a piano	2.2	NEUTRAL
4001	A man is recklessly climbing a rope	A man is climbing a rope	4.3	ENTAILMENT
4006	A man is climbing a rope	The man is climbing up a rope	4.8	ENTAILMENT
4011	A man is climbing a rope	A man is climbing up a rope	4.8	ENTAILMENT
4015	The lady is picking up the kangaroo	The woman is picking up the kangaroo	4.9	ENTAILMENT
4031	A man is breaking tiles with his hands	There is no man breaking wooden boards with his hand	2.9	NEUTRAL
4054	A dog is running breathlessly on the road	A dog is running on the road	4.5	ENTAILMENT
4060	A man is running on the road	A dog is running breathlessly on the road	2.6	NEUTRAL
4066	The man is hurling knives at a tree	The man is throwing knives at a tree	4.6	ENTAILMENT
4067	The man is removing knives from a tree	The man is throwing knives at a tree	3.3	NEUTRAL
4079	One man is riding a horse	A man is riding a horse	4.7	ENTAILMENT
4086	There is no man drawing a picture	A man is drawing a picture	3.9	CONTRADICTION
4114	There is no man eating food	A man is eating a pizza	3.2	CONTRADICTION
4135	A dog is bouncing on a trampoline	A dog is jumping on a trampoline	4.7	ENTAILMENT
4140	Several boys are jumping on a trampoline	A man is doing back flips on a trampoline	3.4	NEUTRAL
4155	A man is playing a wooden flute	There is no man playing a wooden flute	3.7	CONTRADICTION
4157	There is no man playing the piano	A man is playing the piano	4	CONTRADICTION
4164	The man is erasing the drawing on the board	The woman is erasing the drawing on the board	3.7	NEUTRAL
4187	There is no dog playing with a toy	A dog is eating a doll	3.8	CONTRADICTION
4191	A dog is eating a doll	A dog is playing with a toy	3.6	NEUTRAL
4196	A man is dancing	A man is praying fervently	1.7	NEUTRAL
4288	The woman is slicing cooked octopus	A woman is chopping up an octopus	4.4	ENTAILMENT
4321	A man is drawing	There is no man drawing	3.8	CONTRADICTION
4330	The man is drawing	There is no man drawing	3.4	CONTRADICTION
4342	A man is eating a banana	A man is eating a fruit	4.6	ENTAILMENT
4360	A man is cutting a note	A man is cutting a paper	4.4	ENTAILMENT
4376	A man is playing a guitar	There is no one playing a piano	2.7	NEUTRAL
4411	Two men in a race are flipping the tires of a tractor	Two men are competing in a tire rolling race	3.7	NEUTRAL
4429	The men are talking	Some old women are talking	3	NEUTRAL
4477	A man is punching a soccer ball	A man is mixing the content of a bowl	1.2	NEUTRAL
4505	The doctors are healing a man	The doctor is helping the patient	4.2	ENTAILMENT
4520	There is no man playing a guitar	A man is playing a guitar	3.6	CONTRADICTION
4614	There is no man driving a car	A man is driving a car	4.4	CONTRADICTION
4638	A keyboard is being played by a man	A man is playing a harp	2.4	NEUTRAL
4650	A man is cutting a thick rope with a sword	There is no man cutting a rope with a sword	3.6	CONTRADICTION
4661	A woman is slicing a potato	A woman is cutting a potato	4.8	ENTAILMENT
4707	A group of men is playing soccer on the beach	A group of boys is playing soccer on the beach	4.4	NEUTRAL
4734	A man is fitting a silencer to a pistol	A man is applying a silencer to a gun	4.8	ENTAILMENT
4755	The girl is sitting on the couch and is crocheting	There is no girl playing the violin on a beach	1.4	NEUTRAL
4767	A man is cooking a snake	There is no man cooking a snake	3.7	CONTRADICTION
4776	There is no boy playing guitar	A boy is playing guitar	3.8	CONTRADICTION
4803	There is no monkey teasing a dog at the zoo	A monkey is teasing a dog at the zoo	2.935	CONTRADICTION
4814	A monkey is pulling a dog's tail	A monkey is teasing a dog at the zoo	4.4	NEUTRAL
4816	There is no person cutting some ginger	A person is cutting some ginger	3.8	CONTRADICTION
4823	A person is cutting some ginger	A person is slicing an onion	3	NEUTRAL
4831	A man is slicing a potato into pieces	A man is not cutting a potato	4	CONTRADICTION
4843	A man is opening a box with a knife	There is no man opening a box with a knife	3.8	CONTRADICTION
4851	Some instruments are being played by a band	A band is playing some instruments	5	ENTAILMENT
4852	A band is not playing some instruments	A band is playing some instruments	3.8	CONTRADICTION
4866	A person is dancing	A woman is exercising	3	NEUTRAL
4891	A man is doing pull-ups	The man is doing exercises in a gym	4	NEUTRAL
4916	A man is singing and playing a guitar	A man is singing and playing a musical instrument	4.5	ENTAILMENT
4934	Recruits are talking to an officer	An officer is talking to the recruits	3.7	NEUTRAL
4963	Garlic is being chopped by a woman	A woman is chopping garlic	4.7	ENTAILMENT
4966	A woman is slicing a fish	There is no woman slicing a fish	2.7	CONTRADICTION
4983	A woman is riding a horse	A horse is being ridden by a woman	5	ENTAILMENT
5003	A big cat is opening a plastic drawer with its paws and is jumping inside	A cat is opening a drawer and jumping inside	4.4	ENTAILMENT
5030	The man is talking on the telephone	The man is speaking on the telephone	4.9	ENTAILMENT
5047	A man is cutting onions	A woman is cutting an onion	3.5	NEUTRAL
5051	A man is opening a door	There is no man opening a door	3.6	CONTRADICTION
5052	A door is being opened by a man	A man is cutting an onion	1.2	NEUTRAL
5082	A woman is playing the violin	There is no man playing the piano	2.1	NEUTRAL
5110	A chef is preparing some food	A chef is preparing a meal	4.8	ENTAILMENT
5113	Two sumo ringers are fighting	Two sumo wrestlers are fighting	4	ENTAILMENT
5119	Two sumo ringers are fighting	A man is riding a water toy in the water	1	NEUTRAL
5148	A man is buttering a piece of bread	A woman is buttering a piece of bread	3.5	NEUTRAL
5203	The woman is putting pasta into a dish	Pasta is being put into a dish by a woman	5	ENTAILMENT
5206	A woman is pulling some sticky goo out of a bowl	The woman is not putting pasta into a dish	2.2	NEUTRAL
5310	There is no girl playing a flute	A girl is playing a flute	3.6	CONTRADICTION
5349	A large flute is being played by a man	A man is playing a flute	4.3	ENTAILMENT
5352	A man is playing a large flute	There is no man playing a flute	4.1	CONTRADICTION
5374	An octopus is being sliced by a woman	A woman is slicing an octopus	5	ENTAILMENT
5454	A man is playing a flute	A man is not playing a flute	4.2	CONTRADICTION
5461	A woman is playing the flute	A man is playing a flute	3.7	NEUTRAL
5498	A woman is cutting a lemon	A woman is cutting fruit	4.2	ENTAILMENT
5540	A group of people are dancing in a show	A group of people are marching	2.3	NEUTRAL
5588	A cupcake is being eaten by a girl	A girl is eating a cupcake	5	ENTAILMENT
5657	A person is eating in a restaurant	A person is making a bed	1.2	NEUTRAL
5698	The cook is sprinkling cheese on the pizza	The man is sprinkling cheese on the pizza	4	NEUTRAL
5706	A man is reloading a shotgun	A man is firing a shotgun	3.7	NEUTRAL
5745	A tiger cub is playing with a ball	A baby is playing with a doll	1.4	NEUTRAL
5747	A baby is playing with a toy	A baby tiger is playing with a ball	3.2	NEUTRAL
5799	A person is peeling a potato	A potato is being peeled by a person	5	ENTAILMENT
5806	A man is rowing a canoe	A man is rowing a boat	4.2	ENTAILMENT
5904	A man and a woman are driving down the street in a jeep	A man and a woman are driving down the road in an open-air vehicle	4	NEUTRAL
5909	A woman is pouring ingredients into a bowl	The chef is seasoning the oil	3.1	NEUTRAL
5914	A horse is being ridden by a person	A person is riding a horse	5	ENTAILMENT
5920	A horse is being ridden by a person	A woman is slicing potatoes	1	NEUTRAL
5924	The man is not doing exercises	The man is doing exercises	3.8	CONTRADICTION
5930	The man is not doing exercises	Two men are fighting	2.3	NEUTRAL
5938	Vegetables are being put into a pot by a man	Someone is pouring ingredients into a pot	4	ENTAILMENT
5955	A dog is leaving a ball in the dirt	A dog is chasing a ball through dirt	3.7	NEUTRAL
6001	There is no brown dog standing in the water	A dog with golden fur is in the water	2.8	NEUTRAL
6005	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	3.4	NEUTRAL
6042	The small child is walking through the water and is being guided by another person	A young child is splashing in the water	3.4	NEUTRAL
6047	A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	5	ENTAILMENT
6078	A person wearing jeans is sitting happily on the top of a horse saddle	A woman in jeans is sitting on the saddle of a horse	4.2	NEUTRAL
6119	A brown and white dog is holding a baseball in its mouth	A black and white dog is dropping a baseball from its mouth	3.3	NEUTRAL
6131	A young boy wearing a red swimsuit is jumping into a blue kiddies pool	A boy wearing red shorts is jumping into a paddling pool	4	NEUTRAL
6146	Two people are standing in the ocean and watching the sunset	Nobody is standing in the ocean and watching the sunset	2.5	CONTRADICTION
6153	A race car driver is standing up and pointing his hand at the sky	A race car driver is sitting down and is motionless	3	NEUTRAL
6158	A race car driver is standing up and is fiercely pointing his hand at the sky	The person in the blue jacket is wearing a colorful helmet	1.6	NEUTRAL
6203	A bicyclist is holding a bike over his head in a group of people	A cyclist is being held over the heads of a group of people with the bike	3.4	NEUTRAL
6213	A man is sitting on a boat in font of the sunset, near a flag	A man is standing on a boat in front of the sunset near a flag	3.8	NEUTRAL
6219	A man is standing on a boat in front of the sunset near a flag	A man is on a boat in front of the sunset	4.1	ENTAILMENT
6228	People at a drag race are running away from the flames that are coming out of the cars	The crowd is watching two racing cars that are leaving the starting line	2.6	NEUTRAL
6231	Two dogs are playing together on the grass	Two dogs are resting together in the grass	3.3	NEUTRAL
6280	A dog, which is black, is running in the grass	A black dog is running in the grass	5	ENTAILMENT
6287	A black dog is running in the grass and its tongue is hanging out	A black dog is running in the grass	4.9	ENTAILMENT
6315	A yellow dog is running on white snow on a very sunny day	A yellow dog is running on white snow on a sunny day	4.6	ENTAILMENT
